kota;type;provinsi
Tasikmalaya;Kota;Jawa Barat
Kulon Progo;Kabupaten;DI Yogyakarta
Kuningan;Kabupaten;Jawa Barat
Kupang;Kabupaten;Nusa Tenggara Timur (NTT)
Kupang;Kota;Nusa Tenggara Timur (NTT)
Tasikmalaya;Kabupaten;Jawa Barat
Kutai Barat;Kabupaten;Kalimantan Timur
Kutai Kartanegara;Kabupaten;Kalimantan Timur
Kutai Timur;Kabupaten;Kalimantan Timur
Labuhanbatu;Kabupaten;Sumatera Utara
Tebing Tinggi;Kota;Sumatera Utara
Labuhanbatu Selatan;Kabupaten;Sumatera Utara
Tebo;Kabupaten;Jambi
Tegal;Kabupaten;Jawa Tengah
Tegal;Kota;Jawa Tengah
Teluk Bintuni;Kabupaten;Papua Barat
Teluk Wondama;Kabupaten;Papua Barat
Labuhanbatu Utara;Kabupaten;Sumatera Utara
Temanggung;Kabupaten;Jawa Tengah
Lahat;Kabupaten;Sumatera Selatan
Ternate;Kota;Maluku Utara
Lamandau;Kabupaten;Kalimantan Tengah
Dompu;Kabupaten;Nusa Tenggara Barat (NTB)
Donggala;Kabupaten;Sulawesi Tengah
Dumai;Kota;Riau
Empat Lawang;Kabupaten;Sumatera Selatan
Lamongan;Kabupaten;Jawa Timur
Ende;Kabupaten;Nusa Tenggara Timur (NTT)
Lampung Barat;Kabupaten;Lampung
Tidore Kepulauan;Kota;Maluku Utara
Enrekang;Kabupaten;Sulawesi Selatan
Lampung Selatan;Kabupaten;Lampung
Fak Fak;Kabupaten;Papua Barat
Timor Tengah Selatan;Kabupaten;Nusa Tenggara Timur (NTT)
Lampung Tengah;Kabupaten;Lampung
Flores Timur;Kabupaten;Nusa Tenggara Timur (NTT)
Lampung Timur;Kabupaten;Lampung
Garut;Kabupaten;Jawa Barat
Timor Tengah Utara;Kabupaten;Nusa Tenggara Timur (NTT)
Lampung Utara;Kabupaten;Lampung
Toba;Kabupaten;Sumatera Utara
Tojo Una Una;Kabupaten;Sulawesi Tengah
Gayo Lues;Kabupaten;Aceh (NAD)
Landak;Kabupaten;Kalimantan Barat
Gianyar;Kabupaten;Bali
Langkat;Kabupaten;Sumatera Utara
Gorontalo;Kabupaten;Gorontalo
Langsa;Kota;Aceh (NAD)
Toli Toli;Kabupaten;Sulawesi Tengah
Lanny Jaya;Kabupaten;Papua Pegunungan
Lebak;Kabupaten;Banten
Gorontalo;Kota;Gorontalo
Tolikara;Kabupaten;Papua Pegunungan
Tomohon;Kota;Sulawesi Utara
Lebong;Kabupaten;Bengkulu
Toraja Utara;Kabupaten;Sulawesi Selatan
Lembata;Kabupaten;Nusa Tenggara Timur (NTT)
Lhokseumawe;Kota;Aceh (NAD)
Lima Puluh Kota;Kabupaten;Sumatera Barat
Lingga;Kabupaten;Kepulauan Riau
Trenggalek;Kabupaten;Jawa Timur
Tual;Kota;Maluku
Tuban;Kabupaten;Jawa Timur
Lombok Barat;Kabupaten;Nusa Tenggara Barat (NTB)
Tulang Bawang;Kabupaten;Lampung
Lombok Tengah;Kabupaten;Nusa Tenggara Barat (NTB)
Lombok Timur;Kabupaten;Nusa Tenggara Barat (NTB)
Tulang Bawang Barat;Kabupaten;Lampung
Lombok Utara;Kabupaten;Nusa Tenggara Barat (NTB)
Lubuk Linggau;Kota;Sumatera Selatan
Tulungagung;Kabupaten;Jawa Timur
Lumajang;Kabupaten;Jawa Timur
Wajo;Kabupaten;Sulawesi Selatan
Luwu;Kabupaten;Sulawesi Selatan
Luwu Timur;Kabupaten;Sulawesi Selatan
Wakatobi;Kabupaten;Sulawesi Tenggara
Waropen;Kabupaten;Papua
Way Kanan;Kabupaten;Lampung
Wonogiri;Kabupaten;Jawa Tengah
Wonosobo;Kabupaten;Jawa Tengah
Yahukimo;Kabupaten;Papua Pegunungan
Yalimo;Kabupaten;Papua Pegunungan
Yogyakarta;Kota;DI Yogyakarta
Luwu Utara;Kabupaten;Sulawesi Selatan
Madiun;Kabupaten;Jawa Timur
Madiun;Kota;Jawa Timur
Magelang;Kabupaten;Jawa Tengah
Magelang;Kota;Jawa Tengah
Magetan;Kabupaten;Jawa Timur
